event_date	event_starttime	event_endtime	hpc_coord	hpc_bbox	sg_chirality	sg_orientation	sg_shape	sg_aspectratio	AR_NOAANUM	obs_instrument	SOL_standard
2011-10-26	2011-10-26T07:18:02	2011-10-26T07:18:02	POINT(324.6018 120.8772)	POLYGON((277.6758 75.2238,376.1046 78.3204,368.916 166.4646,272.3676 163.443,277.6758 75.2238))			Inverse-S Sigmoid	7.04201	1324	AIA_4	SOL2011-10-26T07:18:02L297C079
2011-10-26	2011-10-26T09:18:02	2011-10-26T09:18:02	POINT(579.7224 288.7128)	POLYGON((431.8902 164.832,744.432 187.317,676.992 409.9332,392.7162 389.7444,431.8902 164.832))			Inverse-S Sigmoid	176.327	0	AIA_4	SOL2011-10-26T09:18:02L316C069
2011-10-26	2011-10-26T10:17:21	2011-10-26T10:17:21	POINT(235.7682 142.635)	POLYGON((193.7352 101.4618,281.5092 103.4106,275.9826 183.7092,189.9312 181.8072,193.7352 101.4618))			Inverse-S Sigmoid	65.6281	0	AIA_1	SOL2011-10-26T10:17:21L290C077
2011-10-26	2011-10-26T10:47:21	2011-10-26T10:47:21	POINT(-315.8952 17.20344)	POLYGON((-360.9492 -28.3023,-272.4012 -30.9621,-269.7744 62.8722,-357.4686 65.4924,-360.9492 -28.3023))			Inverse-S Sigmoid	10.8066	1330	AIA_1	SOL2011-10-26T10:47:21L256C085
2011-10-26	2011-10-26T12:47:21	2011-10-26T12:47:21	POINT(-297.6672 10.0683)	POLYGON((-346.875 -39.63198,-249.7032 -42.35928,-247.2612 59.98158,-343.4838 62.667,-346.875 -39.63198))			Inverse-S Sigmoid	11.6707	1330	AIA_1	SOL2011-10-26T12:47:21L256C085
2011-10-26	2011-10-26T12:47:21	2011-10-26T12:47:21	POINT(264.2574 144.159)	POLYGON((220.134 101.0526,312.6624 103.371,306.237 187.1556,215.61 184.8954,220.134 101.0526))			Forward-S Sigmoid	14.7103	0	AIA_1	SOL2011-10-26T12:47:21L291C077
2011-10-26	2011-10-26T13:17:21	2011-10-26T13:17:21	POINT(266.6376 144.3762)	POLYGON((218.547 97.4958,319.3092 100.0452,312.177 191.1258,213.6648 188.646,218.547 97.4958))			Forward-S Sigmoid	6.49249	0	AIA_1	SOL2011-10-26T13:17:21L290C077
2011-10-26	2011-10-26T13:17:21	2011-10-26T13:17:21	POINT(-293.6064 11.93706)	POLYGON((-340.6974 -35.59002,-247.8204 -38.1564,-245.454 59.65344,-337.4442 62.1816,-340.6974 -35.59002))			Inverse-S Sigmoid	14.3239	1330	AIA_1	SOL2011-10-26T13:17:21L256C085
2011-10-26	2011-10-26T13:47:21	2011-10-26T13:47:21	POINT(268.9536 145.3596)	POLYGON((224.379 101.8362,317.9358 104.2248,311.3112 188.7684,219.7032 186.441,224.379 101.8362))			Forward-S Sigmoid	6.42328	0	AIA_1	SOL2011-10-26T13:47:21L290C077
2011-10-26	2011-10-26T13:47:21	2011-10-26T13:47:21	POINT(-289.2006 11.77518)	POLYGON((-336.1386 -35.58402,-243.5472 -38.09928,-241.2324 59.32206,-332.9442 61.8,-336.1386 -35.58402))			Inverse-S Sigmoid	20.8439	1330	AIA_1	SOL2011-10-26T13:47:21L256C085
2011-10-26	2011-10-26T14:17:21	2011-10-26T14:17:21	POINT(-284.5452 12.43368)	POLYGON((-329.5524 -32.94714,-240.8304 -35.3136,-238.62 57.98496,-326.5284 60.3174,-329.5524 -32.94714))			Inverse-S Sigmoid	15.6323	1330	AIA_1	SOL2011-10-26T14:17:21L256C085
2011-10-26	2011-10-26T14:48:02	2011-10-26T14:48:02	POINT(432.2424 136.2126)	POLYGON((277.971 -2.46849,589.7874 11.3463,554.5812 274.1424,261.366 261.3438,277.971 -2.46849))			Inverse-S Sigmoid	12.485	1324	AIA_4	SOL2011-10-26T14:48:02L300C078
2011-10-26	2011-10-26T16:48:02	2011-10-26T16:48:02	POINT(-375.603 49.8306)	POLYGON((-430.632 -6.07356,-323.7618 -9.98394,-318.6876 105.8706,-423.8838 109.695,-430.632 -6.07356))			Inverse-S Sigmoid	6.01485	1330	AIA_4	SOL2011-10-26T16:48:02L249C083
2011-10-26	2011-10-26T18:17:21	2011-10-26T18:17:21	POINT(-450.8724 172.8528)	POLYGON((-501.2052 121.6608,-410.9112 117.4278,-399.0864 223.7796,-486.7848 227.8656,-501.2052 121.6608))			Forward-S Sigmoid	6.59694	0	AIA_1	SOL2011-10-26T18:17:21L242C076
2011-10-26	2011-10-26T18:18:02	2011-10-26T18:18:02	POINT(-375.0414 72.3762)	POLYGON((-416.8008 30.14124,-337.0116 27.22488,-332.2998 114.642,-410.9736 117.5034,-416.8008 30.14124))			Inverse-S Sigmoid	6.62219	1330	AIA_4	SOL2011-10-26T18:18:02L248C082
2011-10-26	2011-10-26T18:48:02	2011-10-26T18:48:02	POINT(-409.9896 174.042)	POLYGON((-494.823 87.1842,-338.4036 80.6682,-321.8874 260.121,-470.6814 266.256,-494.823 87.1842))			Forward-S Sigmoid	8.88297	1330	AIA_4	SOL2011-10-26T18:48:02L245C076
2011-10-26	2011-10-26T19:18:02	2011-10-26T19:18:02	POINT(528.7398 153.7152)	POLYGON((478.9488 106.266,586.4214 112.4874,573.7386 201.0564,468.5862 194.9994,478.9488 106.266))			Inverse-S Sigmoid	11.2059	1324	AIA_4	SOL2011-10-26T19:18:02L305C077
2011-10-27	2011-10-27T01:47:21	2011-10-27T01:47:21	POINT(-234.9918 124.7736)	POLYGON((-275.0004 84.6582,-198.4596 82.9914,-194.8458 164.8128,-269.9934 166.4412,-275.0004 84.6582))			Forward-S Sigmoid	8.76394	1330	AIA_1	SOL2011-10-27T01:47:21L253C078
2011-10-27	2011-10-27T02:17:21	2011-10-27T02:17:21	POINT(-229.7424 124.9134)	POLYGON((-270.8262 83.727,-192.1284 82.0548,-188.535 166.0182,-265.7616 167.6514,-270.8262 83.727))			Forward-S Sigmoid	12.4531	1330	AIA_1	SOL2011-10-27T02:17:21L253C078
